university_name,founded_year,course_name,language,mode,fee_domestic,fee_international
Western Caspian University,1991,Accounting,English,Full-time,2500.0,4590.0
Western Caspian University,1991,Administration,English,Full-time,2100.0,4590.0
Western Caspian University,1991,Biology,English,Full-time,2700.0,4590.0
Western Caspian University,1991,Business,English,Full-time,2101.0,4590.0
Western Caspian University,1991,Design,English,Full-time,2101.0,4590.0
Western Caspian University,1991,Ecology,English,Full-time,2101.0,4590.0
Western Caspian University,1991,Economics,English,Full-time,2101.0,4590.0
Western Caspian University,1991,Engineering,English,Full-time,2101.0,4590.0
Western Caspian University,1991,Finance and Banking,English,Full-time,2101.0,4590.0
Western Caspian University,1991,History,English,Full-time,3100.0,4590.0
Western Caspian University,1991,Hospitality,English,Full-time,2101.0,4590.0
Western Caspian University,1991,Humanities,English,Full-time,2101.0,3740.0
Western Caspian University,1991,IT,English,Full-time,2101.0,4590.0
Western Caspian University,1991,International Relations,English,Full-time,2101.0,4590.0
Western Caspian University,1991,Management,English,Full-time,2800.0,4590.0
Western Caspian University,1991,Marketing,English,Full-time,2500.0,4590.0
Western Caspian University,1991,Philology,English,Full-time,2500.0,4590.0
Western Caspian University,1991,Philosophy,English,Full-time,2600.0,4590.0
Western Caspian University,1991,Political Science,Bosnian,Full-time,3100.0,3400.0
Western Caspian University,1991,Technology,English,Full-time,2100.0,4590.0
Western Caspian University,1991,Business,English,Full-time,2100.0,4590.0
Western Caspian University,1991,Computer Science,English,Full-time,2200.0,4590.0
Western Caspian University,1991,Design,English,Full-time,2500.0,4590.0
Western Caspian University,1991,Ecology,English,Full-time,2100.0,4590.0
Western Caspian University,1991,Economics,English,Full-time,2000.0,4590.0
Western Caspian University,1991,Finance and Banking,English,Full-time,2000.0,3400.0
Western Caspian University,1991,International Relations,English,Full-time,2200.0,3400.0
Western Caspian University,1991,Management,English,Full-time,2000.0,4590.0
Western Caspian University,1991,Philology,English,Full-time,2300.0,4590.0
Western Caspian University,1991,Psychology,English,Full-time,2300.0,4590.0
Western Caspian University,1991,Technology,English,Full-time,2200.0,4590.0
Western Caspian University,1991,Tourism,English,Full-time,2200.0,4590.0
Western Caspian University,1991,Economics,English,Full-time,1000.0,5100.0
Western Caspian University,1991,Logistics,English,Full-time,1700.0,3000.0
Western Caspian University,1991,Philology,English,Full-time,3162.0,5100.0
Western Caspian University,1991,Physics,English,Full-time,1000.0,5100.0
Western Caspian University,1991,Political Science,English,Full-time,1000.0,5100.0
Western Caspian University,1991,Technology,English,Full-time,1000.0,5100.0
Azerbaijan Technical University,1950,Business,Azerbaijani,Full-time,2100.0,2465.0
Azerbaijan Technical University,1950,Computer Science,Azerbaijani,Full-time,2100.0,2465.0
Azerbaijan Technical University,1950,Ecology,Azerbaijani,Full-time,2000.0,2465.0
Azerbaijan Technical University,1950,Economics,Azerbaijani,Full-time,2100.0,2465.0
Azerbaijan Technical University,1950,Engineering,Azerbaijani,Full-time,2000.0,2465.0
Azerbaijan Technical University,1950,IT,Russian,Full-time,2100.0,2465.0
Azerbaijan Technical University,1950,Management,Azerbaijani,Full-time,2100.0,2465.0
Azerbaijan Technical University,1950,Marketing,Azerbaijani,Full-time,2100.0,2465.0
Azerbaijan Technical University,1950,Security,Azerbaijani,Full-time,2100.0,2465.0
Azerbaijan Technical University,1950,Transportation,Azerbaijani,Full-time,2000.0,2465.0
Azerbaijan Technical University,1950,Business,Azerbaijani,Full-time,2500.0,4250.0
Azerbaijan Technical University,1950,Computer Science,Azerbaijani,Full-time,2200.0,2465.0
Azerbaijan Technical University,1950,IT,Azerbaijani,Full-time,2200.0,2465.0
Azerbaijan Technical University,1950,Management,Azerbaijani,Full-time,2200.0,2465.0
