University Name,Location,Founded Year,University ID,Online Status,Admission Status,Course Name,Language,Mode,Fee Domestic,Fee International
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Accounting,English,Full-time,"AZN 2,500","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Administration,English,Full-time,"AZN 2,100","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Biology,English,Full-time,"AZN 2,700","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Business,English,Full-time,"AZN 2,101","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Design,English,Full-time,"AZN 2,101","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Ecology,English,Full-time,"AZN 2,101","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Economics,English,Full-time,"AZN 2,101","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Engineering,English,Full-time,"AZN 2,101","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Finance and Banking,English,Full-time,"AZN 2,101","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,History,English,Full-time,"AZN 3,100","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Hospitality,English,Full-time,"AZN 2,101","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Humanities,English,Full-time,"AZN 2,101","AZN 3,740"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,IT,English,Full-time,"AZN 2,101","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,International Relations,English,Full-time,"AZN 2,101","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Management,English,Full-time,"AZN 2,800","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Marketing,English,Full-time,"AZN 2,500","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Philology,English,Full-time,"AZN 2,500","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Philosophy,English,Full-time,"AZN 2,600","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Political Science,Bosnian,Full-time,"AZN 3,100","AZN 3,400"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Technology,English,Full-time,"AZN 2,100","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Business,English,Full-time,"AZN 2,100","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Computer Science,English,Full-time,"AZN 2,200","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Design,English,Full-time,"AZN 2,500","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Ecology,English,Full-time,"AZN 2,100","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Economics,English,Full-time,"AZN 2,000","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Finance and Banking,English,Full-time,"AZN 2,000","AZN 3,400"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,International Relations,English,Full-time,"AZN 2,200","AZN 3,400"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Management,English,Full-time,"AZN 2,000","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Philology,English,Full-time,"AZN 2,300","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Psychology,English,Full-time,"AZN 2,300","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Technology,English,Full-time,"AZN 2,200","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Tourism,English,Full-time,"AZN 2,200","AZN 4,590"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Economics,English,Full-time,"AZN 1,000","AZN 5,100"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Logistics,English,Full-time,"AZN 1,700","AZN 3,000"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Management,English,Full-time,"AZN 3,162","AZN 51,000"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Philology,English,Full-time,"AZN 3,162","AZN 5,100"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Physics,English,Full-time,"AZN 1,000","AZN 5,100"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Political Science,English,Full-time,"AZN 1,000","AZN 5,100"
Western Caspian University,Azerbaijan,1991,1003100014,Online 4 weeks ago,Admissions open,Technology,English,Full-time,"AZN 1,000","AZN 5,100"
Azerbaijan Technical University,Azerbaijan,1950,1003100025,N/A,Admissions open,Business,Azerbaijani,Full-time,"AZN 2,100","AZN 2,465"
Azerbaijan Technical University,Azerbaijan,1950,1003100025,N/A,Admissions open,Computer Science,Azerbaijani,Full-time,"AZN 2,100","AZN 2,465"
Azerbaijan Technical University,Azerbaijan,1950,1003100025,N/A,Admissions open,Ecology,Azerbaijani,Full-time,"AZN 2,000","AZN 2,465"
Azerbaijan Technical University,Azerbaijan,1950,1003100025,N/A,Admissions open,Economics,Azerbaijani,Full-time,"AZN 2,100","AZN 2,465"
Azerbaijan Technical University,Azerbaijan,1950,1003100025,N/A,Admissions open,Engineering,Azerbaijani,Full-time,"AZN 2,000","AZN 2,465"
Azerbaijan Technical University,Azerbaijan,1950,1003100025,N/A,Admissions open,IT,Russian,Full-time,"AZN 2,100","AZN 2,465"
Azerbaijan Technical University,Azerbaijan,1950,1003100025,N/A,Admissions open,Management,Azerbaijani,Full-time,"AZN 2,100","AZN 2,465"
Azerbaijan Technical University,Azerbaijan,1950,1003100025,N/A,Admissions open,Marketing,Azerbaijani,Full-time,"AZN 2,100","AZN 2,465"
Azerbaijan Technical University,Azerbaijan,1950,1003100025,N/A,Admissions open,Security,Azerbaijani,Full-time,"AZN 2,100","AZN 2,465"
Azerbaijan Technical University,Azerbaijan,1950,1003100025,N/A,Admissions open,Transportation,Azerbaijani,Full-time,"AZN 2,000","AZN 2,465"
Azerbaijan Technical University,Azerbaijan,1950,1003100025,N/A,Admissions open,Business,Azerbaijani,Full-time,"AZN 2,500","AZN 4,250"
Azerbaijan Technical University,Azerbaijan,1950,1003100025,N/A,Admissions open,Computer Science,Azerbaijani,Full-time,"AZN 2,200","AZN 2,465"
Azerbaijan Technical University,Azerbaijan,1950,1003100025,N/A,Admissions open,Ecology,Azerbaijani,Full-time,"AZN 2,000","AZN 2,465"
Azerbaijan Technical University,Azerbaijan,1950,1003100025,N/A,Admissions open,Engineering,Azerbaijani,Full-time,"AZN 2,000","AZN 2,465"
Azerbaijan Technical University,Azerbaijan,1950,1003100025,N/A,Admissions open,IT,Azerbaijani,Full-time,"AZN 2,200","AZN 2,465"
Azerbaijan Technical University,Azerbaijan,1950,1003100025,N/A,Admissions open,Management,Azerbaijani,Full-time,"AZN 2,200","AZN 2,465"
Azerbaijan Technical University,Azerbaijan,1950,1003100025,N/A,Admissions open,Transportation,Azerbaijani,Full-time,"AZN 2,000","AZN 2,465"
Azerbaijan State Agricultural University,Azerbaijan,1920,1003100003,N/A,Admissions open,Agriculture,Azerbaijani,Full-time,AZN 0,"AZN 4,250"
Azerbaijan State Agricultural University,Azerbaijan,1920,1003100003,N/A,Admissions open,Biology,Azerbaijani,Full-time,AZN 0,"AZN 4,250"
Azerbaijan State Agricultural University,Azerbaijan,1920,1003100003,N/A,Admissions open,Business,Azerbaijani,Full-time,AZN 0,"AZN 4,250"
Azerbaijan State Agricultural University,Azerbaijan,1920,1003100003,N/A,Admissions open,Ecology,Azerbaijani,Full-time,AZN 0,"AZN 4,250"
Azerbaijan State Agricultural University,Azerbaijan,1920,1003100003,N/A,Admissions open,Economics,English,Full-time,AZN 0,"AZN 4,250"
Azerbaijan State Agricultural University,Azerbaijan,1920,1003100003,N/A,Admissions open,Engineering,Azerbaijani,Full-time,AZN 0,"AZN 4,250"
Azerbaijan State Agricultural University,Azerbaijan,1920,1003100003,N/A,Admissions open,IT,Azerbaijani,Full-time,AZN 0,"AZN 4,250"
Azerbaijan State Agricultural University,Azerbaijan,1920,1003100003,N/A,Admissions open,Management,Azerbaijani,Full-time,AZN 0,"AZN 4,250"
Azerbaijan State Agricultural University,Azerbaijan,1920,1003100003,N/A,Admissions open,Marketing,Azerbaijani,Full-time,AZN 0,"AZN 4,250"
Azerbaijan State Agricultural University,Azerbaijan,1920,1003100003,N/A,Admissions open,Medicine,Azerbaijani,Full-time,AZN 0,"AZN 4,250"
Azerbaijan State Agricultural University,Azerbaijan,1920,1003100003,N/A,Admissions open,Pharmacy,Azerbaijani,Full-time,AZN 0,"AZN 4,250"
Azerbaijan State Agricultural University,Azerbaijan,1920,1003100003,N/A,Admissions open,Business,Azerbaijani,Full-time,AZN 0,"AZN 4,250"
Azerbaijan State Agricultural University,Azerbaijan,1920,1003100003,N/A,Admissions open,Engineering,Azerbaijani,Full-time,AZN 0,"AZN 4,250"
Azerbaijan State Agricultural University,Azerbaijan,1920,1003100003,N/A,Admissions open,Marketing,Azerbaijani,Full-time,AZN 0,"AZN 4,250"
Azerbaijan State Agricultural University,Azerbaijan,1920,1003100003,N/A,Admissions open,Medicine,Azerbaijani,Full-time,AZN 0,"AZN 4,250"
Azerbaijan State Agricultural University,Azerbaijan,1920,1003100003,N/A,Admissions open,Economics,Azerbaijani,Full-time,AZN 0,"AZN 4,250"
Academy of Public Administration,Azerbaijan,1999,1003100019,Online Application form,Admissions open,Administration,Azerbaijani,Full-time,"AZN 1,938","AZN 1,938"
Academy of Public Administration,Azerbaijan,1999,1003100019,Online Application form,Admissions open,Computer Science,Azerbaijani,Full-time,"AZN 1,938","AZN 1,938"
Academy of Public Administration,Azerbaijan,1999,1003100019,Online Application form,Admissions open,Economics,Azerbaijani,Full-time,"AZN 1,938","AZN 1,938"
Academy of Public Administration,Azerbaijan,1999,1003100019,Online Application form,Admissions open,International Relations,Azerbaijani,Full-time,"AZN 1,938","AZN 1,938"
Academy of Public Administration,Azerbaijan,1999,1003100019,Online Application form,Admissions open,Law and Jurisprudence,Azerbaijani,Full-time,"AZN 1,938","AZN 1,938"
Academy of Public Administration,Azerbaijan,1999,1003100019,Online Application form,Admissions open,Management,Azerbaijani,Full-time,"AZN 1,938","AZN 1,938"
Academy of Public Administration,Azerbaijan,1999,1003100019,Online Application form,Admissions open,Political Science,Azerbaijani,Full-time,"AZN 1,938","AZN 1,938"
Academy of Public Administration,Azerbaijan,1999,1003100019,Online Application form,Admissions open,International Relations,Azerbaijani,Full-time,"AZN 1,938","AZN 1,938"
Academy of Public Administration,Azerbaijan,1999,1003100019,Online Application form,Admissions open,Law and Jurisprudence,Azerbaijani,Full-time,"AZN 1,938","AZN 1,938"
Academy of Public Administration,Azerbaijan,1999,1003100019,Online Application form,Admissions open,Political Science,Azerbaijani,Full-time,"AZN 1,938","AZN 1,938"
Academy of Public Administration,Azerbaijan,1999,1003100019,Online Application form,Admissions open,Security,Azerbaijani,Full-time,"AZN 1,938","AZN 1,938"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Architecture,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Business,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Design,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Ecology,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Economics,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Engineering,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Finance and Banking,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,IT,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Management,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Marketing,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Mathematics,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Technology,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Transportation,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Architecture,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Business,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Ecology,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Economics,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Engineering,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,IT,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Management,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Marketing,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Mathematics,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Technology,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan Architecture and Construction University,Azerbaijan,1975,1003100002,Online Application form,Admissions open,Transportation,Azerbaijani,Full-time,"AZN 3,104","AZN 3,104"
Azerbaijan State University of Economics UNEC,Azerbaijan,1930,1003100004,Online Application form,Admissions open,Accounting,Azerbaijani,Full-time,"AZN 3,060","AZN 3,060"
Azerbaijan State University of Economics UNEC,Azerbaijan,1930,1003100004,Online Application form,Admissions open,Administration,Azerbaijani,Full-time,"AZN 3,060","AZN 3,060"
Azerbaijan State University of Economics UNEC,Azerbaijan,1930,1003100004,Online Application form,Admissions open,Business,Azerbaijani,Full-time,"AZN 3,060","AZN 3,060"
Azerbaijan State University of Economics UNEC,Azerbaijan,1930,1003100004,Online Application form,Admissions open,Design,Azerbaijani,Full-time,"AZN 3,060","AZN 3,060"
Azerbaijan State University of Economics UNEC,Azerbaijan,1930,1003100004,Online Application form,Admissions open,Ecology,Azerbaijani,Full-time,"AZN 3,060","AZN 3,060"
Azerbaijan State University of Economics UNEC,Azerbaijan,1930,1003100004,Online Application form,Admissions open,Economics,Azerbaijani,Full-time,"AZN 3,060","AZN 3,060"
Azerbaijan State University of Economics UNEC,Azerbaijan,1930,1003100004,Online Application form,Admissions open,Engineering,Azerbaijani,Full-time,"AZN 3,060","AZN 3,060"
Azerbaijan State University of Economics UNEC,Azerbaijan,1930,1003100004,Online Application form,Admissions open,Finance and Banking,Azerbaijani,Full-time,"AZN 3,060","AZN 3,060"
Azerbaijan State University of Economics UNEC,Azerbaijan,1930,1003100004,Online Application form,Admissions open,Hospitality,Azerbaijani,Full-time,"AZN 3,060","AZN 3,060"
Azerbaijan State University of Economics UNEC,Azerbaijan,1930,1003100004,Online Application form,Admissions open,IT,Azerbaijani,Full-time,"AZN 3,060","AZN 3,060"
Azerbaijan State University of Economics UNEC,Azerbaijan,1930,1003100004,Online Application form,Admissions open,International Relations,Azerbaijani,Full-time,"AZN 3,060","AZN 3,060"
Azerbaijan State University of Economics UNEC,Azerbaijan,1930,1003100004,Online Application form,Admissions open,Management,Azerbaijani,Full-time,"AZN 3,060","AZN 3,060"
